SECTOR;AÑO;VALOR AÑADIDO*;GASTOS PERSONAL*;ACTIVO TOTAL*;ACTIVO FIJO*;RATIO K/L*
TURISMO;2023;32597846;21177608;114818086;21177672,28;29,0188181
TRANSPORTE;2023;28224130;17150164;111038755;17150222,3;44,36970559
TECN. INFORMACIÓN;2023;26202349;20428980;61027969;20429028,15;55,40841757
ESPAÑA;2023;700103978;363829717;6107975190;363829769,8;39,44354352
CONSTRUCCIÓN;2023;46550995;29374512;366195561;29374570,6;40,35556084
AGROALIMENTARIA;2023;32111055;16712876;165445891;16712927,92;34,45701652
TURISMO;2022;31191532,74;21687813,92;126725791,8;21687885,79;28,28953066
TRANSPORTE;2022;27067307,98;17142288,54;113869391,9;17142352,29;43,21031333
TECN. INFORMACIÓN;2022;25164679,96;20252709,34;64189273,35;20252761,33;53,13621304
ESPAÑA;2022;697427525,8;378618999,4;6677589800;378619057,9;38,46470542
CONSTRUCCIÓN;2022;47881639,11;30367475,06;417763435,2;30367539,67;39,47045218
AGROALIMENTARIA;2022;30930656,75;18054940,05;186876859,8;18054997,51;33,44744464
TURISMO;2021;22857325,07;16005025,9;127564303,4;16005106,51;24,93438352
TRANSPORTE;2021;22248126,25;16029369,96;112556077;16029440,92;43,20336184
TECN. INFORMACIÓN;2021;21794633,93;18655768,56;63308765,24;18655825,88;53,59714396
ESPAÑA;2021;697874674,6;370357727,9;6917699029;370357792,3;39,23627094
CONSTRUCCIÓN;2021;54985390,08;30162074,52;450077999,6;30162145,21;40,32248368
AGROALIMENTARIA;2021;31167228,92;18230702,35;185060125,9;18230764,56;33,85924312
TURISMO;2020;11178156,76;14084137,44;124604233,3;14084231,63;23,72892396
TRANSPORTE;2020;18593990,86;16012755,81;110134764,6;16012833,71;45,11953776
TECN. INFORMACIÓN;2020;20774341,89;18168509,9;63016117,13;18168573,65;57,21808715
ESPAÑA;2020;606411293,2;363147579,7;6818676317;363147650,9;40,06058613
CONSTRUCCIÓN;2020;40662267,25;29667476,5;460328491,4;29667553,74;41,48669959
AGROALIMENTARIA;2020;32561702,06;18530772,08;187859704,5;18530839,39;35,36190283
TURISMO;2019;33804949,97;23542748,42;127790572,4;23542832,11;30,56950885
TRANSPORTE;2019;27089986,35;17126181,2;112010161,2;17126257,38;46,03473755
TECN. INFORMACIÓN;2019;21551790,68;16733518,98;52666828,55;16733580,74;55,34689669
ESPAÑA;2019;736439162,9;382522282,4;6698565199;382522351,2;40,48136582
CONSTRUCCIÓN;2019;46038730,8;30617100,98;464324238;30617176,75;41,66775778
AGROALIMENTARIA;2019;32606720,09;18192503,27;179888974,2;18192569,4;34,88481276
TURISMO;2018;32339974,21;22209905,7;121172467,5;22209992,94;30,20456828
TRANSPORTE;2018;25039761,97;16104455,65;106194231,9;16104534,35;45,94548107
TECN. INFORMACIÓN;2018;20123187,77;15598638,29;49951573,57;15598702,06;54,52452082
ESPAÑA;2018;663380998,3;364597264;6584935543;364597335,7;39,9443728
CONSTRUCCIÓN;2018;40417092,43;28525605,58;464910724,6;28525684,62;41,12936822
AGROALIMENTARIA;2018;30340878,71;17214013,04;172502926;17214080,98;35,01387403
TURISMO;2017;31516383,99;20731737,44;115991586,2;20731827,66;30,02906704
TRANSPORTE;2017;24617712,06;15466979,79;104731376,4;15467060,3;46,66821642
TECN. INFORMACIÓN;2017;18764280,72;14233514,84;44806682,47;14233582,08;53,88548744
ESPAÑA;2017;641667504,7;345900154,6;6394507855;345900229,5;39,18837958
CONSTRUCCIÓN;2017;36440368,62;26382802,53;462086600,9;26382884,83;41,11667542
AGROALIMENTARIA;2017;31147992,76;16692065,63;169557354,9;16692135,71;34,71792582
TURISMO;2016;28229943,09;19022370,92;107753458,5;19022463,99;30,40150356
TRANSPORTE;2016;23269584,11;14428594,6;103023478,3;14428676,48;46,03035947
TECN. INFORMACIÓN;2016;17995013,13;13600442,28;40395150,57;13600511,64;54,9298122
ESPAÑA;2016;599502471;330436462,6;6354989972;330436540;40,13626602
CONSTRUCCIÓN;2016;29191537,44;24456833,66;458343513,4;24456918,37;41,44580079
AGROALIMENTARIA;2016;30480262,56;16034503,27;164293630;16034575,19;35,05032033
TURISMO;2015;25514471,4;17360289,87;104448964,2;17360386,48;30,19733323
TRANSPORTE;2015;23010429,64;13594871,51;100143574,9;13594955,64;46,84539639
TECN. INFORMACIÓN;2015;15504698;13057825,11;33131796,5;13057897,53;55,72059062
ESPAÑA;2015;560297809,6;320291435,9;5306100015;320291516;41,05918794
CONSTRUCCIÓN;2015;29827403,87;23927647,15;473861103,9;23927734,48;42,61858274
AGROALIMENTARIA;2015;27330311,14;15390547,81;158497676,2;15390622,09;35,79713935
TURISMO;2014;21459403,24;15879012,71;99778295,21;15879111,55;29,71596378
TRANSPORTE;2014;20622166,73;13267273,69;97458692,54;13267360,08;48,08373411
TECN. INFORMACIÓN;2014;15189207,44;12435598,34;37164235,24;12435673,95;57,05432118
ESPAÑA;2014;547964387,3;303069883,4;5278038662;303069965,3;40,80890777
CONSTRUCCIÓN;2014;24117550,6;23161230,73;438838285,5;23161319,7;42,87331011
AGROALIMENTARIA;2014;26070712,03;14862970,87;152130727,5;14863046,47;36,45584123
TURISMO;2013;19618692,35;15342417,03;95245024,27;15342516,64;29,88146103
TRANSPORTE;2013;17664320,52;12138915,85;84226955,27;12139003,65;47,35527427
TECN. INFORMACIÓN;2013;14683932,96;11533481,63;35768016,65;11533558,74;53,93949576
ESPAÑA;2013;482264783,5;293584036,4;5221195814;293584119,4;40,12686013
CONSTRUCCIÓN;2013;17459804,69;23142803,99;480529424,4;23142894,43;42,64265617
AGROALIMENTARIA;2013;23964543,29;14304503,12;147007447,1;14304579,77;36,51540117
