SECTOR;AÑO;EMPLEADOS;VALOR AÑADIDO (MIL €);ACTIVO TOTAL (MIL €);ROE (%);PRODUCTIVIDAD HUMANA;ENDEUDAMIENTO (%);SOLVENCIA;LIQUIDEZ;GASTOS PERSONAL (MIL €) ;ACTIVO FIJO;RATIO K/L
TURISMO;2023;729791;32597846;114818086;14,9;44,66737189;61,86;1,32;1,1;21177608;21177672,28;29,0188181
TRANSPORTE;2023;386530;28224130;111038755;12,44;73,01924818;55,08;1,64;1,58;17150164;17150222,3;44,36970559
TECN. INFORMACIÓN;2023;368699;26202349;61027969;13,02;71,06704656;43,99;2,14;2,02;20428980;20429028,15;55,40841757
ESPAÑA;2023;9224064;700103978;6107975190;8,77;75,89973118;49,58;1,82;1,44;363829717;363829769,8;39,44354352
CONSTRUCCIÓN;2023;727894;46550995;366195561;8,16;63,95298629;55,5;1,79;1,31;29374512;29374570,6;40,35556084
AGROALIMENTARIA;2023;485037;32111055;165445891;7,12;66,20331026;48,99;1,72;1,21;16712876;16712927,92;34,45701652
TURISMO;2022;766640;30253669;122915414;13,94;39,46268001;67,36;1,28;1,07;21035707;21035776,71;27,43892402
TRANSPORTE;2022;396719;26253451;110445579;13,45;66,17643975;58,71;1,6;1,53;16626856;16626917,84;41,91107015
TECN. INFORMACIÓN;2022;381148;24408031;62259237;12,24;64,03819776;46,34;2,1;1,98;19643753;19643803,42;51,53851895
ESPAÑA;2022;9843285;676457348;6476808729;8,42;68,72272295;53,6;1,75;1,38;367234723;367234779,7;37,30815269
CONSTRUCCIÓN;2022;769374;46441939;405202168;7,3;60,36328106;59,71;1,72;1,24;29454389;29454451,67;38,28365875
AGROALIMENTARIA;2022;539802;30000637;181257866;6,06;55,57711346;52,98;1,62;1,14;17512066;17512121,74;32,44175038
TURISMO;2021;641889;20970023;117031471;15,23;32,66923565;71,57;1,3;1,08;14683510;14683583,95;22,87558121
TRANSPORTE;2021;371023;20411125;103262456;8,72;55,01309892;62,14;1,51;1,45;14705844;14705909,1;39,63611178
TECN. INFORMACIÓN;2021;348075;19995077;58081436;12,18;57,44473748;48,48;2,12;1,99;17115384;17115436,59;49,1716917
ESPAÑA;2021;9439169;640251995;6346512871;7,57;67,82927554;55,99;1,75;1,37;339777732;339777791,1;35,99657884
CONSTRUCCIÓN;2021;748023;50445312;412915596;5,68;67,43818305;61,92;1,73;1,2;27671628;27671692,85;36,99310429
AGROALIMENTARIA;2021;538428;28593788;169779932;5,74;53,10605689;54,27;1,64;1,16;16725415;16725472,07;31,0635258
TURISMO;2020;593547;9628042;107324921;0;16,22119563;79,07;1,16;0,9;12131040;12131121,13;20,43834967
TRANSPORTE;2020;354898;16015496;94861985;7,33;45,12703932;64,08;1,54;1,48;13792210;13792277,1;38,86265096
TECN. INFORMACIÓN;2020;317532;17893490;54277448;10,42;56,35176927;50,87;2,08;1,96;15649018;15649072,91;49,28345146
ESPAÑA;2020;9064961;522318082;5873106216;4,69;57,61945164;58,24;1,75;1,35;312788613;312788674,3;34,50524215
CONSTRUCCIÓN;2020;715110;35023486;396493102;3,87;48,97636168;63,59;1,75;1,19;25553382;25553448,53;35,73359138
AGROALIMENTARIA;2020;524034;28046255;161808531;4,39;53,51991474;55,13;1,68;1,16;15961044;15961101,97;30,45814197
TURISMO;2019;770141;29319124;110833107;10,57;38,06981319;70,77;1,04;0,78;20418689;20418761,59;26,51301721
TRANSPORTE;2019;372029;23495218;97146714;8,42;63,15426486;63,45;1,34;1,28;14853583;14853649,07;39,92605165
TECN. INFORMACIÓN;2019;302340;18691926;45678082;11,17;61,82419131;50,06;1,81;1,7;14513026;14513079,57;48,0025123
ESPAÑA;2019;9449344;638715666;5809683607;6,6;67,59365158;56,98;1,52;1,16;331762604;331762663,7;35,10959741
CONSTRUCCIÓN;2019;734793;39929515;402709660;4,57;54,341175;63,11;1,55;1,05;26554294;26554359,71;36,13855836
AGROALIMENTARIA;2019;521504;28279896;156018191;5,22;54,22757256;54,81;1,5;1,04;15778407;15778464,35;30,2556919
TURISMO;2018;735319;27783483;104100058;10,41;37,78425826;73,2;1,01;0,74;19080675;19080749,95;25,94894182
TRANSPORTE;2018;350514;21511823;91232158;7,71;61,37222194;65,05;1,31;1,25;13835443;13835510,61;39,47206277
TECN. INFORMACIÓN;2018;286086;17287962;42913723;11,19;60,42924855;51,4;1,74;1,65;13400892;13400946,79;46,84237184
ESPAÑA;2018;9127627;569914947;5657161119;6,5;62,43845711;59,01;1,47;1,12;313227890;313227951,6;34,31647148
CONSTRUCCIÓN;2018;693560;34722588;399407839;4,11;50,0642886;65,4;1,5;1,01;24506534;24506601,91;35,33450878
AGROALIMENTARIA;2018;491636;26066047;148198390;5,76;53,01899576;55,84;1,49;1,03;14788671;14788729,36;30,0806478
TURISMO;2017;690392;26754146;98464844;10,4;38,75210895;74,9;0,98;0,7;17599098;17599174,58;25,49156795
TRANSPORTE;2017;331426;20897888;88906092;9,66;63,05446163;65,78;1,31;1,25;13129864;13129932,34;39,61648253
