sector,horizonte,orden
TURISMO,1,"(1, 2, 1)"
TURISMO,2,"(0, 2, 0)"
TURISMO,3,"(3, 2, 1)"
TURISMO,4,"(0, 0, 0)"
TURISMO,5,"(0, 0, 1)"
TRANSPORTE,1,"(3, 2, 0)"
TRANSPORTE,2,"(0, 2, 0)"
TRANSPORTE,3,"(0, 0, 0)"
TRANSPORTE,4,"(2, 1, 2)"
TRANSPORTE,5,"(3, 2, 0)"
TECN. INFORMACIÓN,1,"(2, 0, 0)"
TECN. INFORMACIÓN,2,"(1, 2, 1)"
TECN. INFORMACIÓN,3,"(3, 1, 3)"
TECN. INFORMACIÓN,4,"(0, 2, 3)"
TECN. INFORMACIÓN,5,"(3, 1, 0)"
ESPAÑA,1,"(1, 2, 3)"
ESPAÑA,2,"(1, 1, 1)"
ESPAÑA,3,"(3, 1, 3)"
ESPAÑA,4,"(3, 0, 1)"
ESPAÑA,5,"(0, 2, 1)"
CONSTRUCCIÓN,1,"(1, 1, 0)"
CONSTRUCCIÓN,2,"(1, 0, 0)"
CONSTRUCCIÓN,3,"(0, 2, 2)"
CONSTRUCCIÓN,4,"(2, 1, 0)"
CONSTRUCCIÓN,5,"(0, 2, 3)"
AGROALIMENTARIA,1,"(1, 2, 1)"
AGROALIMENTARIA,2,"(2, 2, 2)"
AGROALIMENTARIA,3,"(1, 2, 1)"
AGROALIMENTARIA,4,"(3, 1, 1)"
AGROALIMENTARIA,5,"(2, 2, 2)"
