MODELO,SECTOR,HORIZONTE,MAE,MAPE,RMSE
ARIMA,TURISMO,1,4494754.436238263,0.13788501351402982,4494754.436238263
ARIMA,TURISMO,2,13856539.275902223,0.4418271310752781,13858593.039023677
ARIMA,TURISMO,3,20495615.297661122,0.7201671206833825,21212732.951721843
ARIMA,TURISMO,4,10149922.691816166,0.7565014789559764,12517219.68060285
ARIMA,TURISMO,5,9997110.533103846,0.6882986762416221,12518198.510729676
ARIMA,TRANSPORTE,1,1054553.3521502241,0.03736353794254151,1054553.3521502241
ARIMA,TRANSPORTE,2,7587632.89485185,0.27862143456853816,7591062.209998349
ARIMA,TRANSPORTE,3,10002873.877336571,0.3875422866649077,10623994.515419671
ARIMA,TRANSPORTE,4,3799458.768094033,0.20787618237423056,4914884.96872087
ARIMA,TRANSPORTE,5,3418389.8936688714,0.16839467994808216,3869787.8385110316
ARIMA,TECN. INFORMACIÓN,1,535591.5428557508,0.02044059266807532,535591.5428557508
ARIMA,TECN. INFORMACIÓN,2,3910482.172460282,0.15412273309993885,3934158.7519378248
ARIMA,TECN. INFORMACIÓN,3,4361051.817476604,0.17702955796759975,4848356.975987252
ARIMA,TECN. INFORMACIÓN,4,2114646.272763692,0.09318463573162154,2293986.198760262
ARIMA,TECN. INFORMACIÓN,5,1819925.4706971466,0.07813411125486283,2321288.3262988697
ARIMA,ESPAÑA,1,1309418.579153061,0.0018703201528631522,1309418.579153061
ARIMA,ESPAÑA,2,8865805.67234993,0.012915243876665376,8948771.238868218
ARIMA,ESPAÑA,3,152394759.08606195,0.2255966840587379,154491882.80485332
ARIMA,ESPAÑA,4,101889054.8773627,0.1680054585553487,106732135.05160318
ARIMA,ESPAÑA,5,48633586.001250245,0.08262335104871268,58804128.34583799
ARIMA,CONSTRUCCIÓN,1,2659504.5296604857,0.05713099214443183,2659504.5296604857
ARIMA,CONSTRUCCIÓN,2,2566620.689165909,0.05516818013257313,2867196.5793198887
